"COSTCNTR","PAYYEAR","PAYPERD","WLUs","PRODUCTIVE    HOURS","BUDGETED","EXPECTED    HRS","ACTUAL","EFFICIENCY","PAID    FTES","WORKED    FTES","PRODUCTIVT","PAID    HOURS","OVERTIME    HOURS","SICK    HOURS","PPRNSWRK","PPLPNWRK","PPAIDWRK","PPOTHWRK"
"","","14","106","907","2.68","284.08","8.56","31.29","13","11","81.82","1109","18","9","12","0","1","4"
"","","15","96","983","2.68","257.28","10.25","26.15","13","12","91.09","1080","51","28","13","1","2","1"
"","","16","61","903","2.68","163.48","14.81","18.09","14","11","79.85","1131","168","22","13","0","1","2"
"","","17","92","870","2.68","246.56","9.46","28.33","13","10","83.10","1047","21","12","13","0","1","2"
"","","18","149","897","2.68","399.32","6.02","44.48","13","11","82.23","1091","10","16","13","0","1","4"
"","","19","122","985","2.68","326.96","8.08","33.18","14","12","83.43","1181","41","19","13","0","1","2"
"","","20","141","1002","2.68","377.88","7.11","37.71","15","12","80.95","1237","221","22","14","0","1","2"
"","","21","117","902","2.68","313.56","7.71","34.75","12","11","86.84","1039","87","20","13","0","1","1"
"","","22","96","837","2.68","257.28","8.73","30.70","12","10","81.62","1026","49","68","13","0","1","2"
"","","23","116","848","2.68","310.88","7.32","36.62","12","10","85.26","995","72","0","13","0","1","1"
"","","24","125","846","2.68","335.00","6.78","39.56","13","10","78.72","1075","28","20","13","0","1","4"
"","","25","107","959","2.68","286.76","8.97","29.87","14","12","83.70","1146","234","10","13","0","1","2"
"","","26","130","828","2.68","348.40","6.37","42.05","13","10","78.48","1055","73","42","13","0","0","4"
